Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
212,Pashchim Champaran,Bihar,Green,30,0,28,2,2,1
213,Purba Champaran,Bihar,Yellow,56,1,40,11,3,1
214,Sitamarhi,Bihar,Green,10,1,5,5,2,1
215,Sheohar,Bihar,Green,6,0,19,0,0,1
216,Gopalganj,Bihar,Yellow,89,0,53,8,1,1
217,Samastipur,Bihar,Green,56,0,32,8,4,1
218,Katihar,Bihar,Green,85,0,16,4,2,1
219,Khagaria,Bihar,Green,88,2,49,1,0,1
220,Bhojpur,Bihar,Yellow,40,0,31,4,2,1
221,Buxar,Bihar,Red,100,0,29,1,1,1
222,Darbhanga,Bihar,Yellow,31,0,79,8,1,0
223,Saharsa,Bihar,Green,18,0,44,1,1,1
224,Kaimur (bhabua),Bihar,Yellow,44,0,27,4,1,1
225,Rohtas,Bihar,Red,123,1,42,6,2,1
226,Jamui,Bihar,Green,27,0,28,6,0,1
227,Banka,Bihar,Yellow,65,0,30,4,0,1
228,Nawada,Bihar,Yellow,52,0,58,2,1,1
229,Gaya,Bihar,Red,34,0,52,9,2,1
230,Munger,Bihar,Red,137,1,75,2,2,1
231,Vaishali,Bihar,Yellow,49,1,23,2,2,1
232,Begusarai,Bihar,Yellow,127,1,27,2,4,1
233,Bhagalpur,Bihar,Yellow,67,0,49,4,2,1
234,Lakhisarai,Bihar,Yellow,26,0,8,1,0,1
235,Sheikhpura,Bihar,Green,40,0,58,1,0,1
236,Arwal,Bihar,Yellow,23,0,26,0,0,1
237,Jehanabad,Bihar,Yellow,106,0,33,2,0,1
238,Nalanda,Bihar,Yellow,83,0,78,3,2,1
239,Patna,Bihar,Red,194,2,33,4,4,0
240,Saran,Bihar,Yellow,29,0,65,9,2,1
241,Siwan,Bihar,Yellow,56,0,4,3,1,1
242,Muzaffarpur,Bihar,Green,32,0,12,9,0,1
243,Madhepura,Bihar,Yellow,22,0,11,1,1,1
244,Araria,Bihar,Green,5,0,26,2,1,1
245,Supaul,Bihar,Green,39,0,55,2,1,1
246,Madhubani,Bihar,Yellow,129,0,12,4,4,1
247,Purnia,Bihar,Yellow,35,0,103,2,3,1
248,Kishanganj,Bihar,Green,14,0,20,1,0,1
249,Aurangabad,Bihar,Red,42,0,55,6,1,1
250,North  District,Sikkim,Green,0,0,5,0,0,1
251,West District,Sikkim,Green,0,0,7,0,0,1
252,South District,Sikkim,Green,1,0,6,1,0,1
