Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
550,Diu,Daman & Diu,Green,0,0,0,1,0,1
551,Dadra & Nagar Haveli,Dadra & Nagar Have,Green,2,0,8,2,1,1
552,Gondiya,Maharashtra,Green,3,0,32,10,1,0
553,Bhandara,Maharashtra,Green,13,0,6,7,2,1
554,Jalgaon,Maharashtra,Red,342,41,88,18,3,0
555,Wardha,Maharashtra,Green,3,1,4,8,2,1
556,Buldana,Maharashtra,Green,42,5,57,13,1,1
557,Akola,Maharashtra,Red,357,20,37,5,1,0
558,Nashik,Maharashtra,Red,890,47,110,23,6,1
559,Gadchiroli,Maharashtra,Green,14,0,1,9,3,1
560,Washim,Maharashtra,Green,8,0,1,6,1,1
561,Chandrapur,Maharashtra,Green,15,0,24,10,3,0
562,Yavatmal,Maharashtra,Green,112,0,64,14,4,0
563,Jalna,Maharashtra,Green,48,0,43,9,1,1
564,Ahmadnagar,Maharashtra,Green,67,2,93,24,2,1
565,Hingoli,Maharashtra,Green,115,0,3,3,2,1
566,Nanded,Maharashtra,Green,97,5,40,13,4,1
567,Parbhani,Maharashtra,Green,23,1,39,6,2,1
568,Pune,Maharashtra,Red,4834,240,143,34,5,1
569,Bid,Maharashtra,Green,15,0,56,10,3,1
570,Mumbai Suburban,Maharashtra,Red,4,1,,,,
571,Mumbai,Maharashtra,Red,28817,949,120,0,0,0
572,Latur,Maharashtra,Green,61,2,30,10,1,0
573,Osmanabad,Maharashtra,Green,26,0,21,6,3,1
574,Solapur,Maharashtra,Red,532,33,93,16,3,0
575,Satara,Maharashtra,Green,186,4,44,15,2,1
576,Ratnagiri,Maharashtra,Green,136,3,69,8,3,1
577,Sangli,Maharashtra,Green,73,1,70,14,2,0
578,Kolhapur,Maharashtra,Green,190,1,91,18,4,0
579,Sindhudurg,Maharashtra,Green,10,1,21,7,3,1
580,Thane,Maharashtra,Red,5580,101,113,15,3,1
581,Palghar,Maharashtra,Red,553,17,60,10,3,0
582,Nandurbar,Maharashtra,Green,32,2,49,12,2,1
583,Amravati,Maharashtra,Red,149,14,20,11,4,1
584,Dhule,Maharashtra,Red,101,9,45,6,2,1
585,Nagpur,Maharashtra,Green,450,9,77,10,2,0
586,Aurangabad,Maharashtra,Yellow,1180,43,64,12,3,1
587,Raigarh,Maharashtra,Green,592,17,59,9,5,1
588,Bidar,Karnataka,Yellow,81,3,58,8,4,0
589,Gulbarga,Karnataka,Yellow,136,8,93,16,6,0
590,Belgaum,Karnataka,Yellow,127,1,148,16,9,0
591,Yadgir,Karnataka,Green,84,0,42,6,2,1
592,Bagalkot,Karnataka,Yellow,77,1,49,8,5,1
593,Raichur,Karnataka,Green,66,0,52,6,4,0
594,Koppal,Karnataka,Green,3,0,49,9,3,0
595,Gadag,Karnataka,Yellow,38,1,39,2,4,0
596,Bellary,Karnataka,Yellow,33,1,73,11,6,1
597,Dharwad,Karnataka,Yellow,38,0,45,0,3,1
598,Uttara Kannada,Karnataka,Yellow,68,0,83,3,10,0
599,Haveri,Karnataka,Green,6,0,69,5,6,1
600,Chitradurga,Karnataka,Green,11,0,82,11,5,1
601,Davanagere,Karnataka,Green,119,4,101,6,5,1
602,Shimoga,Karnataka,Green,34,0,110,7,6,0
603,Udupi,Karnataka,Green,54,1,62,6,2,1
604,Chikmagalur,Karnataka,Green,5,0,90,5,6,1
605,Chikkaballapura,Karnataka,Yellow,104,2,60,2,5,1
606,Hassan,Karnataka,Green,86,0,136,15,7,0
607,Kolar,Karnataka,Green,14,0,69,2,4,1
608,Bangalore Rural,Karnataka,Red,11,0,96,5,3,0
609,Dakshina Kannada,Karnataka,Yellow,64,5,72,8,4,1
610,Bangalore,Karnataka,Red,267,10,48,2,4,0
611,Kodagu,Karnataka,Green,2,0,29,7,2,0
612,Chamarajanagar,Karnataka,Green,0,0,64,3,3,0
613,Tumkur,Karnataka,Yellow,24,2,147,4,9,1
614,Ramanagara,Karnataka,Green,0,0,63,5,3,1
615,Mandya,Karnataka,Yellow,236,0,115,10,6,0
616,Mysore,Karnataka,Red,92,0,147,10,6,0
617,Bijapur,Karnataka,Green,68,4,68,9,4,1
618,North Goa,Goa,Green,5,0,0,3,0,1
619,South Goa,Goa,Green,42,0,0,2,2,1
620,Lakshadweep,Lakshadweep,Green,0,0,4,3,2,1
621,Kasaragod,Kerala,Yellow,209,0,35,6,5,1
622,Wayanad,Kerala,Green,23,0,20,9,2,1
623,Kozhikode,Kerala,Yellow,45,0,61,16,7,1
624,Malappuram,Kerala,Yellow,74,1,79,21,7,3
625,Palakkad,Kerala,Yellow,58,0,65,19,6,1
626,Thrissur,Kerala,Yellow,35,1,65,24,6,1
627,Idukki,Kerala,Yellow,26,0,33,13,4,2
628,Ernakulam,Kerala,Green,29,1,75,23,11,1
629,Alappuzha,Kerala,Yellow,18,0,49,16,6,2
630,Kottayam,Kerala,Red,31,0,47,20,3,0
631,Pathanamthitta,Kerala,Yellow,25,0,35,12,4,1
632,Kollam,Kerala,Yellow,34,0,50,17,8,1
633,Thiruvananthapuram,Kerala,Yellow,24,1,70,24,8,2
634,Kannur,Kerala,Red,150,1,77,9,7,1
635,Thiruvallur,Tamil Nadu,Red,697,4,37,14,10,1
636,Vellore,Tamil Nadu,Green,157,1,55,20,12,1
637,Chennai,Tamil Nadu,Red,9989,80,143,15,3,0
638,Kancheepuram,Tamil Nadu,Red,997,4,29,13,9,1
639,Krishnagiri,Tamil Nadu,Green,22,0,3,10,6,1
640,Tiruvannamalai,Tamil Nadu,Yellow,305,0,59,18,9,1
641,Dharmapuri,Tamil Nadu,Yellow,5,0,5,8,3,1
642,Salem,Tamil Nadu,Yellow,52,0,16,20,11,1
643,Erode,Tamil Nadu,Green,71,3,42,14,7,1
644,The Nilgiris,Tamil Nadu,Yellow,14,0,3,4,5,1
645,Namakkal,Tamil Nadu,Red,77,0,28,15,8,1
646,Perambalur,Tamil Nadu,Yellow,139,0,1,4,3,1
647,Coimbatore,Tamil Nadu,Yellow,146,0,37,12,12,1
648,Tiruchirappalli,Tamil Nadu,Yellow,72,0,53,14,9,1
649,Ariyalur,Tamil Nadu,Green,355,0,8,6,3,1
650,Tiruppur,Tamil Nadu,Red,114,0,12,13,9,1
651,Thanjavur,Tamil Nadu,Red,80,0,50,14,13,1
652,Karur,Tamil Nadu,Green,80,0,7,8,6,1
653,Thiruvarur,Tamil Nadu,Red,35,0,28,10,7,1
654,Dindigul,Tamil Nadu,Yellow,133,0,25,14,12,1
655,Madurai,Tamil Nadu,Red,226,1,49,13,6,1
656,Theni,Tamil Nadu,Yellow,102,2,2,8,5,1
657,Virudhunagar,Tamil Nadu,Red,97,0,3,11,10,1
658,Tirunelveli,Tamil Nadu,Yellow,367,2,69,19,16,1
659,Thoothukkudi,Tamil Nadu,Yellow,149,3,16,12,8,1
660,Kanniyakumari,Tamil Nadu,Yellow,49,1,25,9,8,1
661,Viluppuram,Tamil Nadu,Yellow,326,1,62,22,11,1
662,Cuddalore,Tamil Nadu,Yellow,423,1,36,13,9,1
663,Nagapattinam,Tamil Nadu,Yellow,51,0,31,11,11,1
664,Pudukkottai,Tamil Nadu,Yellow,19,0,3,13,12,1
665,Sivaganga,Tamil Nadu,Yellow,29,0,14,12,16,1
666,Ramanathapuram,Tamil Nadu,Yellow,55,1,4,11,9,1
667,Puducherry,Puducherry,Yellow,13,0,10,2,3,2
668,Karaikal,Puducherry,Green,2,0,0,1,2,1
669,Komaram Bheem,Telangana,Yellow,7,0,,,,
670,Mahabubabad,Telangana,Green,1,0,,,,
671,Mahabubnagar,Telangana,Yellow,12,1,0,2,1,0
672,Mancherial,Telangana,Yellow,1,1,,,,
673,Medak,Telangana,Yellow,5,0,0,2,2,0
674,Medchal Malkajgiri,Telangana,Red,23,1,,,,
675,Nagarkurnool,Telangana,Green,2,0,0,4,1,0
676,Nalgonda,Telangana,Yellow,17,0,0,3,1,0
677,Nirmal,Telangana,Yellow,20,0,0,2,2,0
678,Nizamabad,Telangana,Yellow,62,1,0,8,1,0
679,Peddapalle,Telangana,Green,2,0,0,3,1,0
680,Rajanna,Telangana,Yellow,3,0,0,0,1,0
681,Mahe,Puducherry,Green,2,0,1,1,1,1
682,Rangareddy,Telangana,Red,47,2,0,4,0,1
683,Sangareddy,Telangana,Yellow,9,0,0,2,4,1
684,Siddipet,Telangana,Green,1,0,0,3,2,0
685,Suryapet,Telangana,Red,83,0,0,2,2,0
686,Vikarabad,Telangana,Red,38,1,,,,
687,Wanaparthy,Telangana,Green,0,0,,,,
688,Warangal Rural,Telangana,Green,2,0,,,,
689,Warangal Urban,Telangana,Red,27,0,0,0,0,0
690,Yadadri,Telangana,Green,14,0,,,,
691,Bhadradri,Telangana,Green,4,0,,,,
692,Srikakulam,Andhra Pradesh,Yellow,16,0,7,15,2,1
693,Vizianagaram,Andhra Pradesh,Green,16,0,4,11,1,1
694,Visakhapatnam,Andhra Pradesh,Yellow,81,1,14,12,3,1
695,Krishna,Andhra Pradesh,Red,396,15,15,12,2,1
696,Guntur,Andhra Pradesh,Red,426,8,15,17,2,1
697,East Godavari,Andhra Pradesh,Yellow,59,0,12,26,3,1
698,Prakasam,Andhra Pradesh,Yellow,67,0,6,14,2,1
699,Kurnool,Andhra Pradesh,Red,638,21,3,18,1,1
700,Anantapur,Andhra Pradesh,Yellow,136,4,16,15,2,1
701,Sri Potti Sriramulu Nell*,Andhra Pradesh,Red,182,3,7,14,2,1
702,West Godavari,Andhra Pradesh,Yellow,75,0,9,14,3,1
703,Y.S.R.,Andhra Pradesh,Yellow,107,0,6,12,1,1
704,Chittoor,Andhra Pradesh,Red,208,1,7,15,4,2
705,Yanam,Puducherry,Green,0,0,0,0,0,1
706,North  & Middle Andaman,Andaman & Nicobar,Green,1,0,8,2,0,1
707,South Andaman,Andaman & Nicobar,Green,33,0,10,1,0,1
708,Nicobars,Andaman & Nicobar,Green,0,0,4,1,0,1
709,Adilabad,Telangana,Yellow,20,0,0,3,1,0
710,Hyderabad,Telangana,Red,1161,41,0,10,3,1
711,Jagtial,Telangana,Yellow,6,0,,,,
712,Jangaon,Telangana,Yellow,3,0,0,0,1,0
713,Jayashankar,Telangana,Yellow,5,0,,,,
714,Jogulamba,Telangana,Yellow,45,1,0,1,1,0
715,Kamareddy,Telangana,Yellow,12,0,0,6,2,0
716,Karimnagar,Telangana,Yellow,19,0,0,3,0,1
717,Khammam,Telangana,Yellow,8,0,0,3,0,1
